"State Name","county Name","State Code","County Code","Date","AQI","Category","Defining Parameter","Defining Site","Number of Sites Reporting"
"Alabama","Baldwin","01","003","2022-01-02",22,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-01-05",36,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-01-08",35,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-01-11",15,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-01-14",48,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-01-17",23,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-01-20",11,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-01-23",30,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-01-26",24,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-01-29",18,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-02-04",13,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-02-07",41,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-02-10",45,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-02-13",23,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-02-16",39,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-02-19",26,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-02-22",32,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-02-25",14,"Good","PM2.5","01-003-0010",1
"Alabama","Baldwin","01","003","2022-02-28",23,"Good","PM2.5","01-003-0010",1
"Alabama","Clay","01","027","2022-01-02",11,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-01-05",24,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-01-08",20,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-01-14",18,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-01-17",21,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-01-20",22,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-01-23",26,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-01-26",43,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-01-29",17,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-02-01",62,"Moderate","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-02-04",13,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-02-07",34,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-02-10",52,"Moderate","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-02-13",25,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-02-16",51,"Moderate","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-02-19",15,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-02-22",28,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-02-25",14,"Good","PM2.5","01-027-0001",1
"Alabama","Clay","01","027","2022-02-28",15,"Good","PM2.5","01-027-0001",1
"Alabama","DeKalb","01","049","2022-01-01",26,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2022-01-02",26,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2022-01-03",31,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2022-01-04",29,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2022-01-05",37,"Good","PM2.5","01-049-1003",2
